,Prediction
0,9
1,0
2,4
3,5
4,9
5,1
6,1
7,3
8,8
9,9
10,2
11,1
12,1
13,9
14,1
15,1
16,9
17,9
18,7
19,1
20,6
21,1
22,5
23,7
24,9
25,8
26,1
27,1
28,8
29,8
30,9
31,8
32,8
33,9
34,5
35,1
36,4
37,9
38,1
39,1
40,3
41,7
42,0
43,4
44,9
45,5
46,1
47,6
48,5
49,1
50,5
51,4
52,0
53,9
54,0
55,0
56,8
57,5
58,9
59,1
60,1
61,5
62,0
63,0
64,9
65,4
66,1
67,4
68,0
69,2
70,1
71,0
72,1
73,9
74,0
75,8
76,4
77,1
78,9
79,4
80,7
81,1
82,2
83,5
84,0
85,4
86,9
87,9
88,7
89,9
90,8
91,4
92,1
93,1
94,5
95,1
96,9
97,9
98,0
99,0
100,0
101,8
102,6
103,2
104,4
105,5
106,8
107,5
108,5
109,4
110,1
111,9
112,5
113,5
114,8
115,8
116,8
117,1
118,8
119,9
120,1
121,5
122,5
123,9
124,1
125,1
126,9
127,9
128,0
129,4
130,1
131,8
132,8
133,1
134,9
135,1
136,5
137,9
138,6
139,2
140,5
141,0
142,1
143,2
144,4
145,4
146,5
147,9
148,9
149,1
150,1
151,5
152,9
153,1
154,5
155,0
156,1
157,5
158,5
159,3
160,0
161,8
162,0
163,1
164,1
165,1
166,1
167,1
168,9
169,0
170,5
171,9
172,5
173,0
174,0
175,1
176,1
177,0
178,8
179,5
180,9
181,1
182,9
183,9
184,4
185,1
186,9
187,4
188,9
189,3
190,1
191,9
192,1
193,9
194,2
195,7
196,9
197,8
198,9
199,6
200,9
201,0
202,9
203,0
204,9
205,8
206,8
207,1
208,5
209,9
210,4
211,4
212,0
213,0
214,9
215,0
216,8
217,1
218,3
219,9
220,8
221,1
222,9
223,5
224,9
225,3
226,2
227,5
228,0
229,1
230,9
231,1
232,6
233,9
234,1
235,2
236,5
237,9
238,2
239,1
240,2
241,0
242,9
243,9
244,1
245,1
246,5
247,0
248,5
249,7
250,9
251,1
252,1
253,1
254,9
255,0
256,9
257,4
258,1
259,1
260,4
261,1
262,1
263,1
264,4
265,9
266,5
267,2
268,7
269,9
270,5
271,4
272,5
273,1
274,7
275,0
276,5
277,8
278,9
279,4
280,4
281,5
282,4
283,6
284,1
285,9
286,0
287,1
288,5
289,1
290,1
291,9
292,2
293,8
294,1
295,9
296,1
297,0
298,8
299,9
300,0
301,5
302,9
303,5
304,1
305,1
306,1
307,7
308,6
309,7
310,9
311,9
312,1
313,4
314,1
315,8
316,5
317,9
318,9
319,7
320,9
321,8
322,9
323,9
324,2
325,5
326,9
327,0
328,1
329,9
330,9
331,4
332,5
333,4
334,1
335,9
336,7
337,1
338,9
339,4
340,8
341,9
342,5
343,8
344,0
345,4
346,5
347,5
348,2
349,9
350,3
351,1
352,4
353,8
354,1
355,9
356,4
357,1
358,4
359,3
360,1
361,4
362,2
363,5
364,4
365,2
366,1
367,1
368,1
369,3
370,9
371,5
372,1
373,5
374,1
375,4
376,1
377,9
378,8
379,8
380,1
381,9
382,1
383,1
384,1
385,9
386,0
387,4
388,9
389,6
390,9
391,9
392,0
393,0
394,4
395,1
396,2
397,8
398,9
399,1
400,1
401,9
402,4
403,9
404,8
405,1
406,8
407,9
408,8
409,9
410,5
411,6
412,1
413,1
414,1
415,1
416,9
417,1
418,4
419,5
420,4
421,9
422,3
423,9
424,8
425,0
426,4
427,5
428,0
429,8
430,9
431,0
432,1
433,9
434,9
435,1
436,1
437,9
438,9
439,5
440,1
441,0
442,0
443,1
444,0
445,2
446,8
447,8
448,4
449,9
450,9
451,0
452,1
453,5
454,8
455,4
456,1
457,0
458,1
459,9
460,1
461,8
462,8
463,0
464,8
465,4
466,1
467,2
468,7
469,8
470,2
471,8
472,2
473,9
474,3
475,9
476,5
477,0
478,8
479,0
480,8
481,0
482,0
483,2
484,9
485,4
486,9
487,4
488,9
489,0
490,1
491,5
492,4
493,1
494,8
495,8
496,1
497,0
498,0
499,1
500,9
501,6
502,9
503,4
504,9
505,0
506,2
507,1
508,4
509,8
510,9
511,1
512,1
513,9
514,5
515,0
516,1
517,9
518,6
519,5
